id,word,stem,lang,category,timestamp,profileid
en:calorific,calorific,calorific,en,0,1423609409892,
en:fiasco,fiasco,fiasco,en,0,1423610050452,
en:tittivated,tittivated,tittivate,en,0,1423610994327,
en:peruke,peruke,peruke,en,0,1423611193264,
en:traduced,traduced,traduce,en,0,1423753368424,
en:immiseration,immiseration,immiseration,en,0,1423754266905,
en:scapegrace,scapegrace,scapegrace,en,0,1423754674178,
en:glanders,glanders,glanders,en,0,1423754717500,
en:epicene,epicene,epicene,en,0,1423754886176,
en:dosshouse,dosshouse,dosshouse,en,0,1423758150860,
en:Buna,Buna,bun,en,0,1423759092147,
en:refractory,refractory,refractory,en,0,1423759418014,
en:amatory,amatory,amatory,en,0,1423760260892,
en:ministrations,ministrations,ministration,en,0,1423760630993,
en:plenipotentiaries,plenipotentiaries,plenipotentiary,en,0,1423761953975,
en:Schadenfreude,Schadenfreude,Schadenfreude,en,0,1423762252930,
en:demesne,demesne,demesne,en,0,1423762644868,
en:Amorite,Amorite,Amorite,en,0,1423762828786,
en:rictus,rictus,rictus,en,0,1423763448418,
en:somnolent,somnolent,somnolent,en,0,1423763888627,
en:percipience,percipience,percipience,en,0,1423894669740,
en:adduced,adduced,adduce,en,0,1424003288913,
en:fulminant,fulminant,fulminant,en,0,1424003296438,
en:The,The,the,en,0,1424003681749,
en:plimsolls,plimsolls,plimsoll,en,0,1424003739605,
en:monad,monad,monad,en,0,1424004192838,
en:necropolis,necropolis,necropolis,en,0,1424004210362,
en:propitiation,propitiation,propitiation,en,0,1424005177200,
en:torpid,torpid,torpid,en,0,1424008035909,
en:parallaxes,parallaxes,parallax,en,0,1424008161964,
en:mien,mien,mien,en,0,1424009528433,
en:questions,questions,question,en,0,1424009617757,
en:veronicas,veronicas,veronica,en,0,1424093201380,
en:seigneurial,seigneurial,seigneurial,en,0,1424149207051,
en:Lassitude,Lassitude,lassitude,en,0,1424149338754,
en:diffidence,diffidence,diffidence,en,0,1424149597100,
en:saturnalias,saturnalias,Saturnalia,en,0,1424149700369,
en:frowsiest,frowsiest,frowsy,en,0,1424149923507,
en:ordure,ordure,ordure,en,0,1424150501645,
en:Mundi,Mundi,Munda,en,0,1424151456393,
en:chivy,chivy,chivy,en,0,1424178078941,
en:revanchism,revanchism,revanchism,en,0,1424179599927,
en:garrulous,garrulous,garrulous,en,0,1424293805720,
en:ask,ask,ask,en,0,1428780619367,
en:stupefaction,stupefaction,stupefaction,en,0,1428780623697,
en:photons,photons,photon,en,0,1433072826000,
en:thermalize,thermalize,thermalize,en,0,1433087267458,
en:appear,appear,appear,en,0,1433087332933,
en:perduring,perduring,perdure,en,0,1433089071220,
en:could,could,could,en,0,1433536364558,
en:thousands,thousands,thousand,en,0,1433536814477,
en:seekers,seekers,seeker,en,0,1433734315822,
en:garron,garron,garron,en,0,1439151021359,
en:in,in,in,en,0,1440074802034,
en:engines,engines,engine,en,0,1440389231612,
en:plimsole,plimsole,plimsole,en,0,1440458776624,
en:lachrymosely,lachrymosely,lachrymosely,en,0,1440458849611,
en:distrait,distrait,distrait,en,0,1440459831383,
en:beery,beery,beery,en,0,1440543896581,
en:hold,hold,hold,en,0,1440557548656,
en:deliquescent,deliquescent,deliquescent,en,0,1440562585383,
en:per,per,per,en,0,1440879603013,
en:uxoriousness,uxoriousness,uxoriousness,en,0,1440883260139,
en:divagations,divagations,divagation,en,0,1441546965307,
en:insalubrious,insalubrious,insalubrious,en,0,1444014085936,
en:banyan,banyan,banyan,en,0,1444079745195,
en:moues,moues,moue,en,0,1444080584696,
en:Scheherazade,Scheherazade,Scheherazade,en,0,1444137082635,
en:ha-ha,ha-ha,ha-ha,en,0,1444138578481,
en:juvenilia,juvenilia,juvenilia,en,0,1444140693407,
en:eschatology,eschatology,eschatology,en,0,1444140731640,
en:eschatological,eschatological,eschatological,en,0,1444480494063,
en:Gravitons,Gravitons,graviton,en,0,1444482047269,
en:revenant,revenant,revenant,en,0,1444496010839,
en:tetchily,tetchily,tetchily,en,0,1444563415999,
en:leonine,leonine,leonine,en,0,1444607768714,
en:obloquy,obloquy,obloquy,en,0,1444608463849,
en:affray,affray,affray,en,0,1444608571432,
en:parthenogenesis,parthenogenesis,parthenogenesis,en,0,1444608653572,
en:chatelaine,chatelaine,chatelaine,en,0,1444609168237,
en:eyries,eyries,eyrie,en,0,1444904434564,
en:concertina,concertina,concertina,en,0,1444904677344,
en:disports,disports,disport,en,0,1444969261014,
en:puissance,puissance,puissance,en,0,1444969625074,
en:secateurs,secateurs,secateurs,en,0,1445565230666,
en:detrition,detrition,detrition,en,0,1445566930992,
en:imminence,imminence,imminence,en,0,1445567067110,
en:gulag,gulag,Gulag,en,0,1446266981375,
en:car,car,car,en,0,1446411680667,
en:as,as,as,en,0,1446426177341,
en:hundred,hundred,hundred,en,0,1446466304290,
en:had,had,had,en,0,1446517552894,
en:opprobrium,opprobrium,opprobrium,en,0,1446553025176,
en:imprimatur,imprimatur,imprimatur,en,0,1446610664669,
en:auto,auto,auto,en,0,1446611044738,
en:auto-da-fé,auto-da-fé,auto-da-fé,en,0,1446611059119,
en:intercalate,intercalate,intercalate,en,0,1446611236425,
en:tenterhooks,tenterhooks,tenterhook,en,0,1446612104144,
en:immured,immured,immure,en,0,1446638987359,
en:gouts,gouts,gout,en,0,1446639037699,
en:rapaciousness,rapaciousness,rapaciousness,en,0,1446639159314,
en:dulcet,dulcet,dulcet,en,0,1446646362890,
en:ouroboros,ouroboros,ouroboros,en,0,1446648137656,
en:teratological,teratological,teratological,en,0,1446648324268,
en:rawboned,rawboned,rawboned,en,0,1446648645642,
en:yclept,yclept,yclept,en,0,1446648751549,
en:dybbuks,dybbuks,dybbuk,en,0,1446648878536,
en:fanfaronades,fanfaronades,fanfaronade,en,0,1446649146500,
en:Kapellmeister,Kapellmeister,kapellmeister,en,0,1446654226388,
en:palanquins,palanquins,palanquin,en,0,1446654930573,
en:senescence,senescence,senescence,en,0,1446655355128,
en:discomfitures,discomfitures,discomfiture,en,0,1446655404000,
en:strabismic,strabismic,strabismic,en,0,1446655765708,
en:irruption,irruption,irruption,en,0,1446656822046,
en:sodality,sodality,sodality,en,0,1446657191374,
en:wastrel,wastrel,wastrel,en,0,1446696793617,
en:doggerel,doggerel,doggerel,en,0,1446696950801,
en:regnant,regnant,regnant,en,0,1446697170278,
en:Semitic,Semitic,Semitic,en,0,1446697372403,
en:helpmeets,helpmeets,helpmeet,en,0,1446697489953,
en:contemporary,contemporary,contemporary,en,0,1446730628998,
en:milliner,milliner,milliner,en,0,1446730633517,
en:relict,relict,relict,en,0,1446731940562,
en:deracinated,deracinated,deracinated,en,0,1446732863437,
en:exigencies,exigencies,exigency,en,0,1446733725441,
en:circumambient,circumambient,circumambient,en,0,1446734069972,
en:gorse,gorse,gorse,en,0,1446747863900,
en:apotropaically,apotropaically,apotropaically,en,0,1446763802477,
en:subalterns,subalterns,subaltern,en,0,1446763841973,
en:etiolated,etiolated,etiolated,en,0,1446777811090,
en:Brobdingnagian,Brobdingnagian,Brobdingnagian,en,0,1446777988613,
en:climacteric,climacteric,climacteric,en,0,1446780493486,
en:manumitted,manumitted,manumit,en,0,1446821013496,
en:declaim,declaim,declaim,en,0,1446821984965,
en:aitches,aitches,aitch,en,0,1446822119499,
en:pash,pash,pash,en,0,1446822496337,
en:rectitude,rectitude,rectitude,en,0,1446839474584,
en:peroration,peroration,peroration,en,0,1446840370913,
en:sapient,sapient,sapient,en,0,1446906328732,
en:invigilation,invigilation,invigilation,en,0,1446909325397,
en:hagridden,hagridden,hagridden,en,0,1446910000041,
en:seneschal,seneschal,seneschal,en,0,1446912175831,
en:fledged,fledged,fledged,en,0,1447197755372,
en:gamines,gamines,gamine,en,0,1447211214017,
en:benighted,benighted,benighted,en,0,1447221369063,
en:senilia,senilia,senile,en,0,1447299224686,
en:He,He,He,en,0,1447299273216,
en:gantry,gantry,gantry,en,0,1447300075206,
en:frowsy,frowsy,frowsy,en,0,1447300440392,
en:Mahabharata,Mahabharata,Mahabharata,en,0,1447603931257,
en:trex,trex,très,en,0,1447604131075,
en:lucent,lucent,lucent,en,0,1447842733642,
en:foolscap,foolscap,foolscap,en,0,1447843151492,
en:ponce,ponce,ponce,en,0,1447844895270,
en:sheep,sheep,sheep,en,0,1447845930473,
en:equably,equably,equably,en,0,1447846085119,
en:rostral,rostral,rostral,en,0,1447846442630,
en:cruciform,cruciform,cruciform,en,0,1447847573666,
en:serge,serge,serge,en,0,1447933413387,
en:mephitic,mephitic,mephitic,en,0,1448043198625,
en:grot,grot,grot,en,0,1448043884123,
en:contrapuntal,contrapuntal,contrapuntal,en,0,1448046166451,
en:runnels,runnels,runnel,en,0,1448046266604,
en:winkles,winkles,winkle,en,0,1448047435407,
en:pentimento,pentimento,pentimento,en,0,1448142687344,
en:pullulated,pullulated,pullulate,en,0,1448143227535,
en:inhume,inhume,inhume,en,0,1448144678813,
en:sjambok,sjambok,sjambok,en,0,1448144699621,
en:knout,knout,knout,en,0,1448144710062,
en:quiddity,quiddity,quiddity,en,0,1448145077194,
en:prosody,prosody,prosody,en,0,1448145561951,
en:podgy,podgy,podgy,en,0,1448146282307,
en:vermilion,vermilion,vermilion,en,0,1448146714040,
en:syllogism,syllogism,syllogism,en,0,1448146770512,
en:choric,choric,choric,en,0,1448148444018,
en:bastinado,bastinado,bastinado,en,0,1448198920899,
en:ferae,ferae,FERA,en,0,1448198942189,
en:prelapsarian,prelapsarian,prelapsarian,en,0,1448199016851,
en:inimical,inimical,inimical,en,0,1448199314283,
en:parturition,parturition,parturition,en,0,1448200379028,
en:gambols,gambols,gambol,en,0,1448200498173,
en:Augean,Augean,Augean,en,0,1448200667538,
en:architectonic,architectonic,architectonic,en,0,1448201653015,
en:turpitude,turpitude,turpitude,en,0,1448201904305,
en:viscid,viscid,viscid,en,0,1448202608244,
en:inanition,inanition,inanition,en,0,1448251943108,
en:Spume,Spume,spume,en,0,1448252798277,
en:retractile,retractile,retractile,en,0,1448252809697,
en:Stasis,Stasis,stasis,en,0,1448252817017,
en:epitaph,epitaph,epitaph,en,0,1448252825051,
en:syzygy,syzygy,syzygy,en,0,1448252837306,
en:rubicund,rubicund,rubicund,en,0,1448253212811,
en:abjured,abjured,abjure,en,0,1448253269055,
en:cumbrous,cumbrous,cumbrous,en,0,1448253539006,
en:plangently,plangently,plangently,en,0,1448253635236,
en:idiolects,idiolects,idiolect,en,0,1448254020914,
en:pleonasm,pleonasm,pleonasm,en,0,1448254074233,
en:pelf,pelf,pelf,en,0,1448254293215,
en:lustrum,lustrum,lustrum,en,0,1448455107431,
en:dimity,dimity,dimity,en,0,1448457077151,
en:salacities,salacities,salacity,en,0,1448457965918,
en:riverine,riverine,riverine,en,0,1448512769457,
en:adduce,adduce,adduce,en,0,1448512844322,
en:vitiated,vitiated,vitiate,en,0,1448513346706,
en:declension,declension,declension,en,0,1448513565419,
en:penumbra,penumbra,penumbra,en,0,1448513839120,
en:canoodled,canoodled,canoodle,en,0,1448684115839,
en:deliquesced,deliquesced,deliquesce,en,0,1448684672964,
en:autos,autos,auto,en,0,1448684824722,
en:plinth,plinth,plinth,en,0,1448744830173,
en:pillories,pillories,pillory,en,0,1448744857407,
en:taiga,taiga,taiga,en,0,1448745244556,
en:bemused,bemused,bemuse,en,0,1448801057836,
en:salopettes,salopettes,salopettes,en,0,1448801372616,
en:Diurnal,Diurnal,diurnal,en,0,1448802401560,
en:fricatives,fricatives,fricative,en,0,1448802589478,
en:palatinate,palatinate,palatinate,en,0,1448803971665,
en:suzerainty,suzerainty,suzerainty,en,0,1448804264615,
en:qua,qua,qua,en,0,1448804536737,
en:afflatus,afflatus,afflatus,en,0,1448805435271,
en:provender,provender,provender,en,0,1448806790520,
en:termitary,termitary,termitary,en,0,1448807662108,
en:Hebridean,Hebridean,Hebridean,en,0,1448807756457,
en:panegyric,panegyric,panegyric,en,0,1448811339183,
en:gaff,gaff,gaff,en,0,1448812933443,
en:whining,whining,whin,en,0,1448816028138,
en:finical,finical,finical,en,0,1448816130680,
en:frowsting,frowsting,frowst,en,0,1448857289824,
en:hobbledehoys,hobbledehoys,hobbledehoy,en,0,1448858242229,
en:slimline,slimline,slimline,en,0,1448858407592,
en:behoving,behoving,behove,en,0,1448859285015,
en:superannuated,superannuated,superannuate,en,0,1448940593923,
en:eohippus,eohippus,eohippus,en,0,1448941544407,
en:maundering,maundering,maunder,en,0,1448995341890,
en:elegiac,elegiac,elegiac,en,0,1449011868596,
en:diaconate,diaconate,diaconate,en,0,1449772749395,
en:penury,penury,penury,en,0,1449807586898,
en:penurious,penurious,penurious,en,0,1449808021549,
en:assiduity,assiduity,assiduity,en,0,1449808241596,
en:cowshed,cowshed,cowshed,en,0,1449809190462,
en:mountebank,mountebank,mountebank,en,0,1449809199591,
en:catarrh,catarrh,catarrh,en,0,1450303948187,
en:escarpment,escarpment,escarpment,en,0,1450304172104,
en:barmy,barmy,barmy,en,0,1450308484771,
en:antipodean,antipodean,antipodean,en,0,1450322773685,
en:Cymric,Cymric,Cymric,en,0,1450366185281,
en:coruscating,coruscating,coruscating,en,0,1450366382465,
en:EXIGENT,EXIGENT,exigent,en,0,1450408656845,
en:hallux,hallux,hallux,en,0,1450410637383,
en:clerestory,clerestory,clerestory,en,0,1450414753862,
en:gamboling,gamboling,gambol,en,0,1450415492873,
en:hove,hove,hove,en,0,1450549113305,
en:planar,planar,planar,en,0,1450550573553,
en:calabash,calabash,calabash,en,0,1450551130377,
en:smacked,smacked,smack,en,0,1450641940091,
en:crazing,crazing,craze,en,0,1450646096732,
en:caesura,caesura,caesura,en,0,1450647065677,
en:budgerigars,budgerigars,budgerigar,en,0,1450647687254,
en:hanging,hanging,hanging,en,0,1450647787231,
en:It,It,IT,en,0,1450797830724,
en:labile,labile,labile,en,0,1450937269277,
en:bougie,bougie,bougie,en,0,1450937786573,
en:Chthonic,Chthonic,chthonic,en,0,1451141126615,
en:vitiligo,vitiligo,vitiligo,en,0,1451236363876,
en:tump,tump,tump,en,0,1451355632498,
en:deputed,deputed,depute,en,0,1451357036970,
en:propitiatory,propitiatory,propitiatory,en,0,1451362794205,
en:calumnies,calumnies,calumny,en,0,1451397849442,
en:sinecure,sinecure,sinecure,en,0,1451398498476,
en:Aureate,Aureate,aureate,en,0,1451570516525,
en:blenched,blenched,blench,en,0,1451571337780,
en:bishoprics,bishoprics,bishopric,en,0,1451572535497,
en:menstruum,menstruum,menstruum,en,0,1451629720043,
en:oestrus,oestrus,oestrus,en,0,1451629765804,
en:seems,seems,seem,en,0,1451630203856,
en:chaparral,chaparral,chaparral,en,0,1451686496783,
en:arroyo,arroyo,arroyo,en,0,1451686505667,
en:gyre,gyre,gyre,en,0,1451686716810,
en:sump,sump,sump,en,0,1451714062177,
en:caballero,caballero,caballero,en,0,1451772079259,
en:truculent,truculent,truculent,en,0,1452045962738,
en:rowels,rowels,rowel,en,0,1452045986862,
en:tamarack,tamarack,tamarack,en,0,1452311223504,
en:otiose,otiose,otiose,en,0,1452311350825,
en:flivver,flivver,flivver,en,0,1452346025155,
en:sere,sere,sere,en,0,1452347139183,
en:wen,wen,wen,en,0,1452402750592,
en:spindrift,spindrift,spindrift,en,0,1452735331382,
en:merest,merest,mere,en,0,1452738832713,
en:samsara,samsara,samsara,en,0,1452812504634,
en:dharma,dharma,dharma,en,0,1452834254668,
en:present,present,present,en,0,1453086612228,
en:fulsome,fulsome,fulsome,en,0,1453122778397,
en:mimetic,mimetic,mimetic,en,0,1453122927246,
en:palimpsest,palimpsest,palimpsest,en,0,1453123087453,
en:legatee,legatee,legatee,en,0,1453124303929,
en:lightsome,lightsome,lightsome,en,0,1453124393645,
en:Sabbatarian,Sabbatarian,sabbatarian,en,0,1453124971379,
en:loth,loth,loth,en,0,1453210835857,
en:bosky,bosky,bosky,en,0,1453212223970,
en:campanile,campanile,campanile,en,0,1453212235492,
en:compère,compère,compère,en,0,1453213816617,
en:he,he,he,en,0,1453224379934,
en:catafalque,catafalque,catafalque,en,0,1453224384647,
en:baize,baize,baize,en,0,1453232406309,
en:hoydens,hoydens,hoyden,en,0,1453232518188,
en:colleen,colleen,colleen,en,0,1453308378272,
en:prise,prise,prise,en,0,1453311870579,
en:jurisprudence,jurisprudence,jurisprudence,en,0,1454163449251,
en:when,when,when,en,0,1454812530349,
en:rachis,rachis,rachis,en,0,1454814071357,
en:noetic,noetic,noetic,en,0,1456547616551,
en:bestrid,bestrid,bestride,en,0,1456574771690,
en:captiousness,captiousness,captiousness,en,0,1456970180313,
en:Pomological,Pomological,pomological,en,0,1456971636399,
en:abruption,abruption,abruption,en,0,1457325157928,
en:casualties,casualties,casualty,en,0,1457644242797,
en:manumission,manumission,manumission,en,0,1457655960911,
en:conurbation,conurbation,conurbation,en,0,1457713754591,
en:amphorae,amphorae,amphora,en,0,1457796699463,
en:empurple,empurple,empurple,en,0,1472485564765,
en:Nahuatl,Nahuatl,Nahuatl,en,0,1472505621557,
en:gavage,gavage,gavage,en,0,1472800147810,
en:esemplastic,esemplastic,esemplastic,en,0,1475556765084,
en:eidetic,eidetic,eidetic,en,0,1475557063649,
en:perspicacious,perspicacious,perspicacious,en,0,1475557451129,
en:numinous,numinous,numinous,en,0,1475557542149,
en:erstwhile,erstwhile,erstwhile,en,0,1478619340558,
en:evanesce,evanesce,evanesce,en,0,1478623673176,
en:oversized,oversized,oversized,en,0,1478623964573,
en:pickaninnies,pickaninnies,pickaninny,en,0,1478623969279,
en:golliwog,golliwog,golliwog,en,0,1478623998637,
en:tricorne,tricorne,tricorne,en,0,1478636379138,
en:punim,punim,pun,en,0,1478637612844,
en:this,this,this,en,0,1478699173748,
en:nacre,nacre,nacre,en,0,1478700292892,
en:phalanx,phalanx,phalanx,en,0,1478700793009,
en:perspicacity,perspicacity,perspicacity,en,0,1478701624417,
en:satsumas,satsumas,Satsuma,en,0,1478720006452,
en:Quisling,Quisling,quisling,en,0,1478720046924,
en:plethora,plethora,plethora,en,0,1478786930954,
en:anaphrodisiacs,anaphrodisiacs,anaphrodisiac,en,0,1478787222643,
en:cenotaph,cenotaph,cenotaph,en,0,1478787441133,
en:autodidact,autodidact,autodidact,en,0,1479075845469,
en:enrapt,enrapt,enrapt,en,0,1479077842026,
en-US:paracetamol,paracetamol,paracetamol,en-US,0,1479185954347,
en-US:cairn,cairn,cairn,en-US,0,1479272846850,
en-US:catamite,catamite,catamite,en-US,0,1479273591870,
en-US:pediments,pediments,pediment,en-US,0,1479274305055,
en-US:folie à deux,folie à deux,folie à deux,en-US,0,1479274696160,
en-US:meningioma,meningioma,meningioma,en-US,0,1479354200012,
