id,term,part_of_speech,definition,quizzed,correct
53,RONDO,Noun,a musical form that is often the last movement of a sonata,0,0
54,SERIATIM,Adverb,in a series. point by point,0,0
55,SOLECISM,Noun,a socially awkward or tactless act,0,0
56,BATHETIC,Adjective,effusively or insincerely emotional,0,0
57,DISCOMFITURE,Noun,anxious embarrassment,0,0
58,SEDULOUSLY,Adverb,in a sedulous manner,0,0
59,METONYMY,Noun,substituting the name of an attribute or feature for the name of the thing itself (as in `they counted heads`),0,0
60,SVENGALI,Noun,"someone (usually maleficent, ""the musician in a novel by george du maurier who controls trilbys singing hypnotically"")",0,0
61,LUFF,Noun,"(nautical), the act of sailing close to the wind",0,0
62,LUFF,Verb,"sail close to the wind, flap when the wind is blowing equally on both sides",0,0
63,HYMENEAL,Noun,a wedding hymn,0,0
64,HYMENEAL,Adjective,of or relating to a wedding or marriage,0,0
65,SUPPURATE,Verb,"cause to ripen and discharge pus, ripen and generate pus",0,0
66,CEREMENT,Noun,burial garment in which a corpse is wrapped,0,0
67,FRUCTIFY,Verb,"become productive or fruitful, make productive or fruitful, bear fruit",0,0
68,TORPOR,Noun,"a state of motor and mental inactivity with a partial suspension of sensibility, inactivity resulting from lethargy and lack of vigor or energy",0,0
69,IMPUISSANT,Adjective,lacking physical strength or vigor,0,0
70,BASALT,Noun,the commonest type of solidified lava. a dense dark grey fine-grained igneous rock that is composed chiefly of plagioclase feldspar and pyroxene,0,0
71,CHRYSOPRASE,Noun,a green variety of chalcedony valued as a gemstone,0,0
72,GAMBOL,Noun,gay or light-hearted recreational activity for diversion or amusement,0,0
73,GAMBOL,Verb,play boisterously,0,0
74,HAYMOW,Noun,"a mass of hay piled up in a barn for preservation, a loft in a barn where hay is stored",0,0
75,LEVANTINE,Adjective,of or relating to the the countries bordering on the eastern mediterranean sea or its inhabitants,0,0
76,AUGURY,Noun,an event that is experienced as indicating important things to come,0,0
77,MAJOLICA,Noun,highly decorated earthenware with a glaze of tin oxide,0,0
78,NESS,Noun,a strip of land projecting into a body of water,0,0
79,CHALCEDONY,Noun,a milky or greyish translucent to transparent quartz,0,0
80,MULLIONED,Adjective,of windows. divided by vertical bars or piers usually of stone,0,0
81,ARMATURE,Noun,coil in which voltage is induced by motion through a magnetic field,0,0
82,LAVABO,Noun,a basin for washing the hands (`wash-hand basin is a british expression`),0,0
83,MANDREL,Noun,any of various rotating shafts that serve as axes for larger rotating parts,0,0
84,NORIA,Noun,a water wheel with buckets attached to the rim. used to raise water for transfer to an irrigation channel,0,0
85,REBUS,Noun,a puzzle where you decode a message consisting of pictures representing syllables and words,0,0
86,ZEBU,Noun,domesticated ox having a humped back and long horns and a large dewlap. used chiefly as a draft animal in india and east asia,0,0
87,WITHERS,Noun,the highest part of the back at the base of the neck of various animals especially draft animals,0,0
88,STRIDOR,Noun,a whistling sound when breathing (usually heard on inspiration),0,0
89,PORPHYRY,Noun,any igneous rock with crystals embedded in a finer groundmass of minerals,0,0
90,PEDIMENT,Noun,a triangular gable between a horizontal entablature and a sloping roof,0,0
91,BALUSTRADE,Noun,a railing at the side of a staircase or balcony to prevent people from falling,0,0
92,MEDLAR,Noun,"small deciduous tree of southern africa having edible fruit, small deciduous eurasian tree cultivated for its fruit that resemble crab apples, a south african globular fruit with brown leathery skin and pithy flesh having a sweet-acid taste, crabapple-like fruit used for preserves",0,0
93,SIBYL,Noun,"a woman who tells fortunes, (ancient rome)
",0,0
94,ODALISQUE,Noun,a woman slave in a harem,0,0
95,ELYTRON,Noun,either of the horny front wings in beetles and some other insects which cover and protect the functional hind wings,0,0
96,LAZARETTO,Noun,"hospital for persons with infectious diseases (especially leprosy, a small locker at the stern of a boat or between decks of a ship",0,0
97,SPOLIATION,Noun,the act of stripping and taking by force,2,1
98,PLENARY,Adjective,full in all respects,0,0
99,HUMMOCK,Noun,a small natural hill,1,1
100,EVERT,Verb,turn inside out. turn the inner surface of outward,0,0
101,COMPLINE,Noun,last of the seven canonical hours just before retiring,0,0
102,PILASTER,Noun,a rectangular column that usually projects about a third of its width from the wall to which it is attached,0,0
103,UTRILLO,Noun,french painter noted for his paintings of parisian street scenes (1883-1955),0,0
104,COSH,Noun,a piece of metal covered by leather with a flexible handle. used for hitting people,0,0
105,TYRO,Noun,someone new to a field or activity,0,0
106,PROPITIATE,Verb,make peace with,0,0
107,APOTROPAIC,Adjective,having the power to prevent evil or bad luck,0,0
108,BUMPTIOUS,Adjective,offensively self-assertive,1,1
109,SUBTEND,Verb,"be opposite to. of angles and sides, in geometry",0,0
110,TRACERY,Noun,decoration consisting of an open pattern of interlacing ribs,0,0
111,SEPT,Noun,"the month following august and preceding october, people descended from a common ancestor",0,0
112,PALANQUIN,Noun,a closed litter carried on the shoulders of four bearers,0,0
113,PUISSANT,Adjective,powerful,0,0
114,ROBBER,Noun,a thief who steals from someone by threatening violence,0,0
115,GAOLER,Noun,someone who guards prisoners,0,0
116,TIMOROUSLY,Adverb,in a fearful and trepid manner,0,0
117,QUAIL,Verb,"draw back, as with fear or pain",3,1
118,WHEELHOUSE,Noun,an enclosed compartment from which a vessel can be navigated,0,0
119,TABARD,Noun,a short sleeveless outer tunic emblazoned with a coat of arms. worn by a knight over his armor or by a herald,0,0
120,GIBBET,Noun,alternative terms for gallows,0,0
121,GIBBET,Verb,"hang on an execution instrument, expose to ridicule or public scorn",0,0
122,SHADOW,Noun,"shade within clear boundaries, an unilluminated area, something existing in perception only, a premonition of something adverse, an indication that something has been present, refuge from danger or observation, a dominating and pervasive presence, a spy employed to follow someone and report their movements, an inseparable companion",0,0
123,AUROCHS,Noun,"european bison having a smaller and higher head than the north american bison, large recently extinct long-horned european wild ox. considered one of the ancestors of domestic cattle",0,0
124,RONDEL,Noun,a french verse form of 10 or 13 lines running on two rhymes. the opening phrase is repeated as the refrain of the second and third stanzas,0,0
125,SWARD,Noun,surface layer of ground containing a mat of grass and grass roots,0,0
126,SAMITE,Noun,a heavy silk fabric (often woven with silver or gold threads),0,0
127,SHEEPFOLD,Noun,a pen for sheep,0,0
128,PALI,Noun,an ancient prakrit language (derived from sanskrit),0,0
129,CREPITATE,Verb,make a crackling sound,0,0
130,DUCAL,Adjective,of or belonging to or suitable for a duke,0,0
131,CAVIL,Noun,an evasion of the point of an argument by raising irrelevant distinctions or objections,0,0
132,CAVIL,Verb,raise trivial objections,0,0
133,TRUNCHEON,Noun,a short stout club used primarily by policemen,0,0
134,CATAMITE,Noun,a boy who submits to a sexual relationship with a man,0,0
135,AUTARKY,Noun,economic independence as a national policy,0,0
136,TRADUCE,Verb,speak unfavorably about,0,0
137,ASCLEPIUS,Noun,son of apollo. a hero and the roman god of medicine and healing. his daughters were hygeia and panacea,0,0
138,PREPUCE,Noun,"a fold of skin covering the tip of the clitoris, a fold of skin covering the tip of the penis",0,0
139,COLONNADE,Noun,"structure consisting of a row of evenly spaced columns, a structure composed of a series of arches supported by columns",0,0
140,FETTLE,Noun,a state of fitness and good health,0,0
141,ADUMBRATE,Verb,"describe roughly or briefly or give the main points or summary of, give to understand",0,0
142,TRACTABLE,Adjective,"easily managed (controlled or taught or molded, responsive to suggestions and influences)",0,0
143,EXTENSILE,Adjective,capable of being protruded or stretched or opened out,0,0
144,QUIFF,Noun,a prominent forelock (especially one brushed upward from the forehead),0,0
145,EQUIPOISE,Noun,equality of distribution,0,0
146,MINISTRATION,Noun,assistance in time of difficulty,1,1
147,PERUKE,Noun,a wig for men that was fashionable in the 17th and 18th centuries,0,0
148,CALORIFIC,Adjective,heat-generating,1,1
149,TITTIVATE,Verb,"make neat, smart, or trim",0,0
150,FULMINANT,Adjective,sudden and severe,0,0
151,RICTUS,Noun,a gaping grimace,0,0
152,REFRACTORY,Noun,lining consisting of material with a high melting point. used to line the inside walls of a furnace,0,0
153,REFRACTORY,Adjective,"not responding to treatment, temporarily unresponsive or not fully responsive to a process or stimulus, stubbornly resistant to authority or control",0,0
154,GLANDERS,Noun,a destructive and contagious bacterial disease of horses that can be transmitted to humans,0,0
155,RILL,Noun,"a small stream, a small channel (as one formed by soil erosion)",0,0
156,SCAPEGRACE,Noun,a reckless and unprincipled reprobate,0,0
157,PLENIPOTENTIARY,Noun,a diplomat who is fully authorized to represent his or her government,0,0
158,MISSAL,Noun,(roman catholic church) a book containing the texts used in the catholic mass throughout the year,0,0
159,PULLULATE,Verb,"be teeming, be abuzz, move in large numbers, produce buds, branches, or germinate, become abundant. increase rapidly, breed freely and abundantly",0,0
160,SOMNOLENT,Adjective,"inclined to or marked by drowsiness, or slumbrous",0,0
161,DOSSHOUSE,Noun,a cheap lodging house,0,0
162,ADDUCE,Verb,advance evidence for,0,0
163,AMATORY,Adjective,expressive of or exciting sexual love or romance,0,0
164,EPICENE,Noun,one having both male and female sexual characteristics and organs. at birth an unambiguous assignment of male or female cannot be made,0,0
165,EPICENE,Adjective,"having an ambiguous sexual identity, having unsuitable feminine qualities",0,0
166,LASSITUDE,Noun,"a state of comatose torpor (as found in sleeping sickness, a feeling of lack of interest or energy, weakness characterized by a lack of vitality or energy",0,0
167,DIFFIDENCE,Noun,lack of self-confidence,0,0
168,VERONICA,Noun,any of a genus of annual or perennial herbs of the snapdragon family,0,0
169,CHIVY,Verb,annoy continually or chronically,0,0
170,MUNDA,Noun,a family of languages spoken by people scattered throughout central india,0,0
171,SATURNALIA,Noun,"an orgiastic festival in ancient rome in honor of saturn, a wild gathering involving excessive drinking and promiscuity",0,0
172,FROWSY,Adjective,negligent of neatness especially in dress and person. habitually dirty and unkempt,0,0
173,ORDURE,Noun,solid excretory product evacuated from the bowels,0,0
174,STUPEFACTION,Noun,"a feeling of stupefied astonishment, marginal consciousness, the action of stupefying. making dull or lethargic",0,0
175,DISTRAIT,Adjective,having the attention diverted especially because of anxiety,0,0
176,BEERY,Adjective,smelling of beer,0,0
177,MOUE,Noun,a disdainful grimace,0,0
178,TETCHILY,Adverb,in an ill-natured and tetchy manner,0,0
179,AFFRAY,Noun,"noisy quarrel, a noisy fight",0,0
180,INSALUBRIOUS,Adjective,detrimental to health,0,0
181,PUISSANCE,Noun,power to influence or coerce,0,0
182,CHATELAINE,Noun,"the mistress of a chateau or large country house, a chain formerly worn at the waist by women. for carrying a purse or bunch of keys etc.",0,0
183,EYRIE,Noun,"the lofty nest of a bird of prey (such as a hawk or eagle, any habitation at a high altitude",0,0
184,CONCERTINA,Noun,"coiled barbed wire used as an obstacle, free-reed instrument played like an accordion by pushing its ends together to force air through the reeds",0,0
185,OBLOQUY,Noun,"state of disgrace resulting from public abuse, ""a false accusation of an offense or a malicious misrepresentation of someones words or actions",0,0
186,BANYAN,Noun,"east indian tree that puts out aerial shoots that grow down into the soil forming additional trunks, a loose fitting jacket. originally worn in india",0,0
187,PARTHENOGENESIS,Noun,"human conception without fertilization by a man, process in which an unfertilized egg develops into a new individual. common among insects and some other arthropods",0,0
188,DISPORT,Verb,"occupy in an agreeable, entertaining or pleasant fashion, play boisterously",0,0
189,SECATEURS,Noun,small pruning shears with a spring that holds the handles open and a single blade that closes against a flat surface,0,0
190,DETRITION,Noun,"erosion by friction, the wearing down of rock particles by friction due to water or wind or ice, effort expended in moving one object over another with pressure",0,0
191,IMMINENCE,Noun,the state of being ready to take place and liable to happen soon,0,0
192,OPPROBRIUM,Noun,"state of disgrace resulting from public abuse, a state of extreme dishonor",0,0
193,IMPRIMATUR,Noun,formal and explicit approval,0,0
194,TENTERHOOK,Noun,one of a series of hooks used to hold cloth on a tenter,0,0
195,DULCET,Adjective,"extremely pleasant in a gentle way, pleasing to the ear",0,0
196,IMMURE,Verb,"lock up or confine, in or as in a jail",1,1
197,SENESCENCE,Noun,"the organic process of growing older and showing the effects of increasing age, the property characteristic of old age",0,0
198,RAPACIOUSNESS,Noun,"extreme gluttony, an excessive desire for wealth (usually in large amounts)",0,0
199,RAWBONED,Adjective,having a lean and bony physique,0,0
200,DOGGEREL,Noun,a comic verse of irregular measure,0,0
201,WASTREL,Noun,someone who dissipates resources self-indulgently,0,0
202,REGNANT,Adjective,exercising power or authority,0,0
203,SEMITIC,Noun,a major branch of the afro-asiatic language family,0,0
204,HELPMEET,Noun,a helpful partner,0,0
205,SODALITY,Noun,people engaged in a particular occupation,1,1
206,RELICT,Noun,"an organism or species surviving as a remnant of an otherwise extinct flora or fauna in an environment much changed from that in which it originated, geological feature that is a remnant of a pre-existing formation after other parts have disappeared",0,0
207,MILLINER,Noun,someone who makes and sells hats,0,0
208,EXIGENCY,Noun,"a pressing or urgent situation, a sudden unforeseen crisis (usually involving danger)",0,0
209,GORSE,Noun,very spiny and dense evergreen shrub with fragrant golden-yellow flowers. common throughout western europe,0,0
210,SAPIENT,Adjective,acutely insightful and wise,0,0
211,HAGRIDDEN,Adjective,tormented or harassed by nightmares or unreasonable fears,0,0
212,MANUMIT,Verb,free from slavery or servitude,0,0
213,SUBALTERN,Noun,a british commissioned army officer below the rank of captain,0,0
214,SUBALTERN,Adjective,inferior in rank or status,0,0
215,INVIGILATION,Noun,keeping watch over examination candidates to prevent cheating,0,0
216,CLIMACTERIC,Noun,"a period in a mans life corresponding to menopause"", ""the time in a womans life in which the menstrual cycle ends",0,0
217,DECLAIM,Verb,"recite in elocution, speak against in an impassioned manner",0,0
218,SENESCHAL,Noun,the chief steward or butler of a great household,0,0
219,FLEDGED,Adjective,"having feathers, having taken on a (typically new) role",0,0
220,GAMINE,Noun,"a homeless girl who roams the streets, a girl of impish appeal",0,0
221,BENIGHTED,Adjective,"overtaken by night or darkness, or nighted, lacking enlightenment or knowledge or culture",0,0
222,GANTRY,Noun,a framework of steel bars raised on side supports to bridge over or around something. can display railway signals above several tracks or can support a traveling crane etc.,0,0
223,VITIATE,Verb,"corrupt morally or by intemperance or sensuality, make imperfect, take away the legal force of or render ineffective",0,0
224,AUGEAN,Adjective,extremely filthy from long neglect,0,0
225,SUZERAINTY,Noun,"the position or authority of a suzerain, the domain of a suzerain",0,0
226,GAFF,Noun,"a sharp metal spike or spur that is fastened to the leg of a gamecock, a spar rising aft from a mast to support the head of a quadrilateral fore-and-aft sail, an iron hook with a handle. used for landing large fish",0,0
227,CANOODLE,Verb,fondle or pet affectionately,0,0
228,GROT,Noun,a small cave (usually with attractive features),0,0
229,PELF,Noun,informal terms for money,0,0
230,SALACITY,Noun,the trait of behaving in an obscene manner,0,0
231,STASIS,Noun,"an abnormal state in which the normal flow of a liquid (such as blood, inactivity resulting from a static balance between opposing forces)",0,0
232,LUSTRUM,Noun,"a period of five years, a ceremonial purification of the roman population every five years following the census",0,0
233,PROSODY,Noun,"the patterns of stress and intonation in a language, (also the study of poetic meter and the art of versification)",0,0
234,INANITION,Noun,"weakness characterized by a lack of vitality or energy, exhaustion resulting from lack of food",0,0
235,RETRACTILE,Adjective,capable of retraction. capable of being drawn back,0,0
236,PLEONASM,Noun,using more words than necessary,0,0
237,PILLORY,Noun,a wooden instrument of punishment on a post with holes for the wrists and neck. offenders were locked in and so exposed to public scorn,0,0
238,SYZYGY,Noun,the straight line configuration of 3 celestial bodies (as the sun and earth and moon),0,0
239,WINKLE,Noun,"small edible marine snail. steamed in wine or baked, edible marine gastropod",0,0
240,WINKLE,Verb,"emit or reflect light in a flickering manner, gleam or glow intermittently, remove or displace from a position",0,0
241,CRUCIFORM,Adjective,shaped like a cross,0,0
242,WHIN,Noun,"very spiny and dense evergreen shrub with fragrant golden-yellow flowers. common throughout western europe, small eurasian shrub having clusters of yellow flowers that yield a dye. common as a weed in britain and the united states. sometimes grown as an ornamental, any of various hard colored rocks (especially rocks consisting of chert or basalt)",0,0
243,BASTINADO,Noun,"a cudgel used to give someone a beating on the soles of the feet, a form of torture in which the soles of the feet are beaten with whips or cudgels",0,0
244,BASTINADO,Verb,beat somebody on the soles of the feet,0,0
245,VERMILION,Noun,a variable color that is vivid red but sometimes with an orange tinge,0,0
246,VERMILION,Adjective,of a vivid red to reddish-orange color,0,0
247,ARCHITECTONIC,Adjective,of or pertaining to construction or architecture,0,0
248,PARTURITION,Noun,the process of giving birth,0,0
249,VISCID,Adjective,having the sticky properties of an adhesive,0,0
250,HEBRIDEAN,Adjective,of or relating to the hebrides,0,0
251,LUCENT,Adjective,softly bright or radiant,0,0
252,CHORIC,Adjective,relating to or written for or in the style of a greek chorus,0,0
253,PENTIMENTO,Noun,the reappearance in a painting of an underlying image that had been painted over (usually when the later painting becomes transparent with age),0,0
254,DIMITY,Noun,a strong cotton fabric with a raised pattern. used for bedcovers and curtains,0,0
255,PALATINATE,Noun,"a territory in southwestern germany formerly ruled by the counts palatine, a territory under the jurisdiction of a count palatine",0,0
256,DECLENSION,Noun,"the inflection of nouns and pronouns and adjectives in indo-european languages, process of changing to an inferior state, a downward slope or bend, a class of nouns or pronouns or adjectives in indo-european languages having the same (or very similar",0,0
257,DELIQUESCE,Verb,"melt away in the process of decay, melt or become liquid by absorbing moisture from the air",0,0
258,EPITAPH,Noun,"an inscription on a tombstone or monument in memory of the person buried there, a summary statement of commemoration for a dead person",0,0
259,CONTRAPUNTAL,Adjective,"relating to or characteristic of or according to the rules of counterpoint, having two or more independent but harmonically related melodic parts sounding together",0,0
260,IDIOLECT,Noun,the language or speech of one individual at a particular period in life,2,2
261,SHEEP,Noun,"woolly usually horned ruminant mammal related to the goat, a timid defenseless simpleton who is readily preyed upon, a docile and vulnerable person who would rather follow than make an independent decision",0,0
262,EQUABLY,Adverb,in an equable manner,0,0
263,SERGE,Noun,a twilled woolen fabric,0,0
264,INIMICAL,Adjective,not friendly,0,0
265,TURPITUDE,Noun,a corrupt or depraved or degenerate act or practice,1,1
266,FRICATIVE,Noun,a continuant consonant produced by breath moving against a narrowing of the vocal tract,0,0
267,FRICATIVE,Adjective,"of speech sounds produced by forcing air through a constricted passage (as `f, `s, `z, or `th in both `thin and `then`)",0,0
268,SYLLOGISM,Noun,deductive reasoning in which a conclusion is derived from two premises,0,0
269,SPUME,Noun,foam or froth on the sea,0,0
270,SPUME,Verb,make froth or foam and become bubbly,0,0
271,ABJURE,Verb,"formally reject or disavow a formerly held belief, usually under pressure",0,0
272,PODGY,Adjective,short and plump,0,0
273,PRELAPSARIAN,Adjective,of or relating to the time before the fall of adam and eve,0,0
274,DIURNAL,Adjective,"of or belonging to or active during the day, having a daily cycle or occurring every day",1,1
275,AFFLATUS,Noun,a strong creative impulse. divine inspiration,0,0
276,PENUMBRA,Noun,a fringe region of partial shadow around an umbra,0,0
277,PROVENDER,Noun,"food for domestic livestock, a stock or supply of foods",0,0
278,PLINTH,Noun,an architectural support or base (as for a column or statue),0,0
279,RUNNEL,Noun,a small stream,0,0
280,INHUME,Verb,place in a grave or tomb,0,0
281,KNOUT,Noun,a whip with a lash of leather thongs twisted with wire. used for flogging prisoners,0,0
282,MEPHITIC,Adjective,of noxious stench from atmospheric pollution,0,0
283,EOHIPPUS,Noun,earliest horse. extinct primitive dog-sized four-toed eocene animal,1,1
284,FINICAL,Adjective,exacting especially about details,0,0
285,ELEGIAC,Adjective,"resembling or characteristic of or appropriate to an elegy, expressing sorrow often for something past",0,0
286,SUPERANNUATE,Verb,"retire and pension (someone, declare to be obsolete, become obsolete, retire or become ineligible because of old age or infirmity",0,0
287,MAUNDER,Verb,"wander aimlessly, talk indistinctly. usually in a low voice, speak (about unimportant matters)",0,0
288,BEHOVE,Verb,be appropriate or necessary,0,0
289,HOBBLEDEHOY,Noun,an awkward bad-mannered adolescent boy,0,0
290,ASSIDUITY,Noun,great and constant diligence and attention,0,0
291,CATARRH,Noun,inflammation of the nose and throat with increased production of mucus,0,0
292,ANTIPODEAN,Adjective,relating to the antipodes or situated at opposite sides of the earth,0,0
293,COWSHED,Noun,a barn for cows,0,0
294,MOUNTEBANK,Noun,a flamboyant deceiver. one who attracts customers with tricks or jokes,0,0
295,PENURY,Noun,a state of extreme poverty or destitution,0,0
296,PENURIOUS,Adjective,"not having enough money to pay for necessities, excessively unwilling to spend",0,0
297,ESCARPMENT,Noun,"a long steep slope or cliff at the edge of a plateau or ridge. usually formed by erosion, a steep artificial slope in front of a fortification",0,0
298,CYMRIC,Noun,a celtic language of wales,0,0
299,BARMY,Adjective,"marked by spirited enjoyment, informal or slang terms for mentally irregular",0,0
300,HALLUX,Noun,the first largest innermost toe,0,0
301,EXIGENT,Adjective,"demanding attention, requiring precise accuracy",0,0
302,PLANAR,Adjective,involving or having two dimensions,0,0
303,BUDGERIGAR,Noun,small australian parakeet usually light green with black and yellow markings in the wild but bred in many colors,0,0
304,CAESURA,Noun,"a pause or interruption (as in a conversation, a break or pause (usually for sense)",0,0
305,VITILIGO,Noun,an acquired skin disease characterized by patches of unpigmented skin (often surrounded by a heavily pigmented border),0,0
306,CHTHONIC,Adjective,dwelling beneath the surface of the earth,0,0
307,DEPUTE,Verb,"transfer power to someone, appoint as a substitute, give an assignment to (a person, a person)",0,0
308,SINECURE,Noun,"a benefice to which no spiritual or pastoral duties are attached, an office that involves minimal duties",0,0
309,CALUMNY,Noun,"a false accusation of an offense or a malicious misrepresentation of someones words or actions"", ""an abusive attack on a persons character or good name",0,0
310,BISHOPRIC,Noun,the territorial jurisdiction of a bishop,0,0
311,BLENCH,Verb,"turn pale, as if in fear",1,1
312,AUREATE,Adjective,"elaborately or excessively ornamented, having the deep slightly brownish color of gold, or golden",0,0
313,OESTRUS,Noun,"applies to nonhuman mammals: a state or period of heightened sexual arousal and activity, type genus of the oestridae: sheep botflies",0,0
314,MENSTRUUM,Noun,"(archaic), the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause",0,0
315,ABYSM,Noun,"a bottomless gulf or pit. any unfathomable (or apparently unfathomable, often used figuratively",0,0
316,DIVAGATION,Noun,"a message that departs from the main subject, a turning aside (of your course or attention or concern)",0,0
317,TAMARACK,Noun,medium-sized larch of canada and northern united states including alaska having a broad conic crown and rust-brown scaly bark,0,0
318,TRUCULENT,Adjective,defiantly aggressive,0,0
319,ROWEL,Noun,a small spiked wheel at the end of a spur,0,0
320,OTIOSE,Adjective,"serving no useful purpose. having no excuse for being, producing no result or effect, disinclined to work or exertion",0,0
321,SUMP,Noun,"an oil reservoir in an internal combustion engine, a well or other hole in which water has collected, a covered cistern. waste water and sewage flow into it",0,0
322,ARROYO,Noun,a stream or brook,0,0
323,GYRE,Noun,a round shape formed by a series of concentric circles (as formed by leaves or flower petals),0,0
324,WEN,Noun,a common cyst of the skin. filled with fatty matter (sebum),0,0
