Term,Definition
"Gordian 	", extremely intricate; usually in phrase `Gordian knot'
"Augean 	", extremely filthy from long neglect
"gelid 	", extremely cold
"ptyalism 	", excessive flow of saliva
"finical 	", exacting especially about details
"quietus 	", euphemisms for death
"friable 	", easily broken into small fragments or reduced to powder
"ptosis 	", drooping of the upper eyelid caused by muscle paralysis and weakness
"adust 	", dried out by heat or excessive exposure to sunlight
"dighted 	", dressed or adorned (as for battle)
"prink 	", dress very carefully and in a finicky manner
"scupper 	", drain that allows water on the deck of a vessel to flow overboard
"pretermit 	", disregard intentionally or let pass
"subfusc 	", devoid of brightness or appeal
"velleity 	", desire in its weakest form
"aleatory 	", dependent on chance
"chaparral 	", dense vegetation consisting of stunted trees or bushes
"cerulean 	", deep blue like the color of a clear sky
"vermicular 	", decorated with wormlike tracery or markings
"decollate 	", cut the head of
"falcate 	", curved like a sickle
"pawky 	", cunning and sly
"pule 	", cry weakly or softly
"puberulent 	", covered with fine soft hairs or down
"politesse 	", courtesy towards women
"salmagundi 	", cooked meats and eggs and vegetables usually arranged in rows around the plate and dressed with a salad dressing
"phatic speech 	", conversational speech used to communicate sociability more than information
"ligneous 	", consisting of or containing xylem
"qui vive 	", condition of heightened watchfulness or preparation for action
"daedal 	", complex and ingenious in design or function
"caparisoned 	", clothed in finery
"anapestic 	", characterized by two short syllables followed by a long one
"emulous 	", characterized by or arising from imitation
"brumal 	", characteristic of or relating to winter
"hiemal 	", characteristic of or relating to winter
"estivation 	", cessation or slowing of activity during the summer
"objurgate 	", censure severely
"lenify 	", cause to be more favorably inclined; gain the good will of
"vambrace 	", cannon of plate armor protecting the forearm
"attainder 	", cancellation of civil rights
"cerement 	", burial garment in which a corpse is wrapped
"chapfallen 	", brought low in spirit
"Buteo 	", broad-winged soaring hawks
"eclat 	", brilliant or conspicuous success or effect
"nitid 	", bright with a steady but subdued shining
"aposiopesis 	", breaking off in the middle of a sentence
"abacinate 	", blind by holding a red-hot metal plate before someone's eyes
"epistaxis 	", bleeding from the nose
"syndactyly 	", birth defect in which there is partial or total webbing connecting two or more fingers or toes
"quondam 	", belonging to some prior time
"vilipend 	", belittle
"notional 	", being of the nature of a notion or concept
"xeric 	", being deficient in moisture
"devitrify 	", become crystalline
"chirk up 	", become cheerful
"palter 	", be deliberately ambiguous or unclear in order to mislead
"discalced 	", barefoot or wearing only sandals
"shirr 	", bake (eggs) in their shells until they are set
"hieratic 	", associated with the priesthood or priests
"sacerdotal 	", associated with the priesthood or priests
"brassard 	", armor plate that protects the arm
"defalcate 	", appropriate fraudulently to one's own use
"malversate 	", appropriate fraudulently to one's own use
"peculate 	", appropriate fraudulently for one's own use
"anaglyph 	", anything carved in low relief
"icosahedron 	", any polyhedron having twenty plane faces
"hebdomad 	", any period of seven consecutive days
"batrachian 	", any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
"porphyry 	", any igneous rock with crystals embedded in a finer groundmass of minerals
"murrain 	", any disease of domestic animals that resembles a plague
"euphuism 	", any artificially elegant style of language
"nonage 	", any age prior to the legal age
"purlieu 	", an outer adjacent area of any place that one inhabits
"cockade 	", an ornament usually worn on the hat
"relict 	", an organism or species surviving as a remnant of an otherwise extinct flora or fauna in an environment much changed from that in which it originated
"anlage 	", an organ in its earliest stage of development
"khamsin 	", an oppressively hot southerly wind from the Sahara that blows across Egypt in the spring
"embrasure 	", an opening for firing through
"aide-de-camp 	", an officer who acts as an assistant to a more senior officer
"chancery 	", an office of archives for public or ecclesiastic records
"epithalamium 	", an ode honoring a marriage
"oscitance 	", an involuntary intake of breath through a wide open mouth
"gasconade 	", an instance of boastful talk
"vaporing 	", an instance of boastful talk
"epigone 	", an inferior imitator or follower of someone
"panjandrum 	", an important or influential (and often overbearing) person
"steatopygia 	", an extreme accumulation of fat on the buttocks
"stager 	", an experienced person who has been through many battles
"pother 	", an excited state of agitation
"thanatopsis 	", an essay expressing a view on the subject of death
"bolide 	", an especially luminous meteor (sometimes exploding)
"bleb 	", an elevation of the skin filled with serous fluid
"clerisy 	", an educated and intellectual elite
"ukase 	", an edict of the Russian tsar
"hobbledehoy 	", an awkward bad-mannered adolescent boy
"coadjutor 	", an assistant to a bishop
"nard 	", an aromatic ointment used in antiquity
"logomachy 	", an argument about words or the meaning of words
"arriviste 	", an ambitious social climber or status seeker
"periphrasis 	", an act of expressing things in an indirect or roundabout way
"anacoluthia 	", an abrupt change within a sentence from one syntactic structure to another
"fulgurous 	", amazingly impressive
"tilth 	", aggregation of soil and its condition for supporting growth
"niminy-piminy 	", affectedly dainty or refined
"anele 	", administer an oil or ointment to 
"embrocate 	", administer an oil or ointment to 
"apocope 	", abbreviation of a word by omitting the final sound or sounds
"cygnet 	", a young swan
"leveret 	", a young hare especially one in its first year
"hapax legomenon 	", a word with a special meaning used for a special occasion
"demimondaine 	", a woman whose sexual promiscuity places her outside respectable society
"doxy 	", a woman who cohabits with an important man
"odalisque 	", a woman slave in a harem
"poseuse 	", a woman poseur
"maenad 	", a woman participant in the orgiastic rites of Dionysus
"duenna 	", a woman chaperon
"taradiddle 	", a trivial lie
"pediment 	", a triangular gable between a horizontal entablature and a sloping roof
"salver 	", a tray for serving food or drinks; usually made of silver
"mumpsimus 	", a traditional notion that is obstinately held although it is unreasonable
"slumgullion 	", a thin stew of meat and vegetables
"maltha 	", a thick black tar intermediate between petroleum and asphalt
"lipogram 	", a text that excludes a particular letter or particular letters of the alphabet
"preterite 	", a term formerly used to refer to the simple past tense
"corsair 	", a swift pirate ship (often operating with official sanction)
"sutler 	", a supplier of victuals or supplies to an army
"peripety 	", a sudden and unexpected change of fortune or reverse of circumstances (especially in a literary work)
"tincture 	", a substance that colors metals
"ambage 	", a style that involves indirect ways of expressing things
"mistral 	", a strong north wind that blows in France during the winter
"afflatus 	", a strong creative impulse; divine inspiration
"mews 	", a street lined with dwellings that were originally stables
"numen 	", a spirit believed to inhabit an object or preside over a place (especially in ancient Roman religion)
"cerumen 	", a soft yellow wax secreted by glands in the ear canal
"stipule 	", a small leafy outgrowth at the base of a leaf or its stalk
"kopje 	", a small hill rising up from the African veld
"lagniappe 	", a small gift given by a merchant to a customer 
"cocotte 	", a small casserole in which individual portions can be cooked and served
"bezel 	", a sloping edge on a cutting tool
"sylph 	", a slender graceful young woman
"pelisse 	", a sleeveless cape that is lined or trimmed with fur
"etymon 	", a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes
"batrachomyomachia 	", a silly altercation
"concordat 	", a signed written agreement between two or more parties
"eclogue 	", a short poem descriptive of rural or pastoral life
"apologue 	", a short moral story (often with animal characters)
"hogget 	", a sheep up to the age of one year; one yet to be sheared
"pharisee 	", a self-righteous or sanctimonious person
"chrestomathy 	", a selection of passages from different authors that is compiled as an aid in learning a language
"umbilicus 	", a scar where the umbilical cord was attached
"res ipsa loquitur 	", a rule of evidence whereby the negligence of an alleged wrongdoer can be inferred from the fact that the accident happened
"backsheesh 	", a relatively small amount of money given for services rendered (as by a waiter)
"eructation 	", a reflex that expels gas noisily from the stomach through the mouth
"ashlar 	", a rectangular block of hewn stone used for building purposes
"rale 	", a rapid series of short loud sounds
"pettifoggery 	", a quarrel about petty points
"nimiety 	", a quantity much larger than is needed
"quiff 	", a prominent forelock
"mackle 	", a printed impression that is blurred or doubled
"flamen 	", a priest who served a particular deity in ancient Rome
"cromlech 	", a prehistoric megalithic tomb typically having two large upright stones and a capstone
"entrepot 	", a port where merchandise can be imported and then exported without paying import duties
"pleasance 	", a pleasant and secluded part of a garden
"capriole 	", a playful leap or hop
"Gehenna 	", a place where the wicked are punished after death
"Tartarus 	", a place where the wicked are punished after death
"orangery 	", a place where oranges are grown
"halberd 	", a pike fitted with an ax head
"quidnunc 	", a person who meddles in the affairs of others
"trencherman 	", a person who is devoted to eating and drinking to excess
"parvenu 	", a person who has suddenly risen to a higher economic status
"procurator 	", a person authorized to act for another
"longueur 	", a period of dullness or boredom
"dithyramb 	", a passionate hymn
"callathump 	", a noisy mock serenade to a newly married couple
"affray 	", a noisy fight
"armiger 	", a nobleman entitled to bear heraldic arms
"benedict 	", a newly married man
"proselyte 	", a new convert; especially a gentile converted to Judaism
"demarche 	", a move or step or maneuver in political or diplomatic affairs
"stoma 	", a mouth or mouthlike opening
"gallimaufry 	", a motley assortment of things
"automysophobia 	", a morbid fear of being dirty
"curandero 	", a Mexican man who practices healing techniques inherited from the Mayans
"maieutic method 	", a method of teaching by question and answer
"magus 	", a member of the Zoroastrian priesthood of the ancient Persians
"cenobite 	", a member of a religious order living in common
"cicatrice 	", a mark left by the healing of injured tissue
"scholium 	", a marginal note written by a scholiast
"janissary 	", a loyal supporter
"truckle 	", a low bed to be slid under a higher bed
"swale 	", a low area (especially a marshy area between ridges)
"tannoy 	", a loudspeaker
"abulia 	", a loss of will power
"agnail 	", a loose narrow strip of skin near the base of a fingernail
"marl 	", a loose and crumbling earthy deposit consisting mainly of calcite or dolomite; used as a fertilizer for soils deficient in lime
"vibrissa 	", a long stiff hair growing from the snout or brow of most mammals as e.g. a cat
"panatela 	", a long slender cigar
"chasuble 	", a long sleeveless vestment worn by a priest when celebrating Mass
"soutane 	", a long cassock with buttons down the front
"jaconet 	", a lightweight cotton cloth with a smooth and slightly stiff finish; used for clothing and bandages
"foulard 	", a light plain-weave or twill-weave silk or silklike fabric
"refection 	", a light meal or repast
"neap tide 	", a less than average tide occurring at the first and third quarters of the moon
"usufruct 	", a legal right to use and profit from someone else's property
"hegira 	", a journey by a large group to escape from a hostile environment
"paronomasia 	", a humorous play on words
"gharry 	", a horse-drawn carriage in India
"transom 	", a horizontal crosspiece across a window or separating a door from a window over it
"gamine 	", a homeless girl who roams the streets
"Golgotha 	", a hill near Jerusalem where Jesus was crucified
"eagre 	", a high wave caused by tidal flow
"seraglio 	", a harem
"hoyden 	", a girl who behaves in a boyish manner
"porphyria 	", a genetic abnormality of metabolism causing abdominal pains and mental confusion
"myrmidon 	", a follower who carries out orders without question
"buccula 	", a fold of fatty tissue under the chin
"verruca 	", a firm abnormal elevated blemish on the skin
"liege 	", a feudal lord entitled to allegiance and service
"jactitation 	", a false boast that can harm others
"aa 	", a dry form of lava resembling clinkers
"tatterdemalion 	", a dirty shabbily clothed person
"plenipotentiary 	", a diplomat with full powers to take action or make decisions
"dastard 	", a despicable coward
"consuetude 	", a custom or usage that has acquired the force of law
"yob 	", a cruel and brutal fellow
"lese majesty 	", a crime that undermines the offender's government
"davit 	", a crane-like device for suspending or lowering equipment
"caitiff 	", a cowardly and despicable person
"galere 	", a coterie of undesirable people
"surd 	", a consonant produced without sound from the vocal cords
"koine 	", a common language used by speakers of different languages
"peristyle 	", a colonnade surrounding a building or enclosing a court
"espadrille 	", a cloth sandal with a sole made of rope
"palanquin 	", a closed litter carried on the shoulders of four bearers
"famulus 	", a close attendant (as to a scholar)
"consistory 	", a church tribunal or governing body
"eremite 	", a Christian recluse
"chatelaine 	", a chain formerly worn at the waist by women
"bezique 	", a card game played with a pack of forty-eight cards 
"pirogue 	", a canoe made by hollowing out and shaping a large log
"fardel 	", a burden (figuratively in the form of a bundle)
"Arhat 	", a Buddhist who has attained nirvana
"platitudinarian 	", a bore who makes excessive use of platitudes
"buskin 	", a boot reaching halfway up to the knee
"pinnace 	", a boat for communication between ship and shore
"nevus 	", a blemish on the skin that is formed before birth
"cincture 	", a band of material around the waist that strengthens a skirt or trousers
"aweigh 	", (used of an anchor) hanging clear of the bottom
"stilly 	", (poetic) still or calm
"jactitation 	", (pathology) extremely restless tossing and twitching usually by a person with a severe illness
"muckle 	", (often followed by `of') a large number or amount or extent
"abactinal 	", (of radiate animals) located on the surface or end opposite to that on which the mouth is situated
"acaulescent 	", (of plants) having no apparent stem above ground
"morganatic 	", (of marriages) of a marriage between one of royal or noble birth and one of lower rank; valid but with the understanding that the rank of the inferior remains unchanged and offspring do not succeed to titles or property of the superior
"luculent 	", (of language) transparently clear; easily understandable
"spavined 	", (of horses) afflicted with a swelling of the hock-joint
"picaresque 	", (of fiction) involving clever rogues or adventurers
"decollete 	", (of a garment) having a low-cut neckline
"abseil 	", (mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body
"apheresis 	", (linguistics) omission at the beginning of a word as in `coon' for `raccoon' or `till' for `until'
"footling 	", (informal) small and of little importance
"Rhadamanthus 	", (Greek mythology) a judge of the dead in the underworld
"banausic 	", (formal) ordinary and not refined
"niffy 	", (British informal) malodorous
"eidos 	", (anthropology) the distinctive expression of the cognitive or intellectual character of a culture or a social group
